entry_age,start_sal,count_start
20,24639.82857142857,57
22,31725.060168471722,848
27,38702.61725663717,1608
32,44016.6803652968,1501
37,46335.39105935387,1404
42,46743.1415455241,1066
47,48101.75727069351,952
52,48579.1062767475,782
57,48051.931404712195,767
62,46815.23578154426,525
67,44698.87956698241,170
72,33381.29069767442,50
75,32112.887096774193,15
